[11:50:42.026] [INFO   ] thread main starting.
[11:50:42.102] [SEVERE ] cannot read configuration file config.properties trying from resources.
[11:50:42.119] [SEVERE ] configuration file was loaded from resources directory.
[11:50:44.404] [INFO   ] thread dealer starting.
[11:50:44.405] [INFO   ] thread dealer starting.
[11:51:11.550] [SEVERE ] key 81 was pressed by player 1
[11:51:11.895] [SEVERE ] key 87 was pressed by player 1
[11:51:12.233] [SEVERE ] key 69 was pressed by player 1
[11:51:12.907] [SEVERE ] key 73 was pressed by player 2
[11:51:13.178] [SEVERE ] key 69 was pressed by player 1
[11:51:13.336] [SEVERE ] key 81 was pressed by player 1
[11:51:13.346] [SEVERE ] key 80 was pressed by player 2
[11:51:13.392] [SEVERE ] key 79 was pressed by player 2
[11:51:13.424] [SEVERE ] key 73 was pressed by player 2
[11:51:13.481] [SEVERE ] key 85 was pressed by player 2
[11:51:13.650] [SEVERE ] key 80 was pressed by player 2
[11:51:13.774] [SEVERE ] key 79 was pressed by player 2
[11:51:13.776] [SEVERE ] key 76 was pressed by player 2
[11:51:13.818] [SEVERE ] key 75 was pressed by player 2
[11:51:14.044] [SEVERE ] key 76 was pressed by player 2
[11:51:14.078] [SEVERE ] key 65 was pressed by player 1
[11:51:14.168] [SEVERE ] key 83 was pressed by player 1
[11:51:14.202] [SEVERE ] key 75 was pressed by player 2
[11:51:14.236] [SEVERE ] key 68 was pressed by player 1
[11:51:14.449] [SEVERE ] key 79 was pressed by player 2
[11:51:14.574] [SEVERE ] key 75 was pressed by player 2
[11:51:14.696] [SEVERE ] key 80 was pressed by player 2
[11:51:14.832] [SEVERE ] key 81 was pressed by player 1
[11:51:14.844] [SEVERE ] key 75 was pressed by player 2
[11:51:14.846] [SEVERE ] key 76 was pressed by player 2
[11:51:15.034] [SEVERE ] key 87 was pressed by player 1
[11:51:15.102] [SEVERE ] key 69 was pressed by player 1
[11:51:15.124] [SEVERE ] key 80 was pressed by player 2
[11:51:15.147] [SEVERE ] key 79 was pressed by player 2
[11:51:15.227] [SEVERE ] key 73 was pressed by player 2
[11:51:15.228] [SEVERE ] key 75 was pressed by player 2
[11:51:15.405] [SEVERE ] key 83 was pressed by player 1
[11:51:15.427] [SEVERE ] key 65 was pressed by player 1
[11:51:15.463] [SEVERE ] key 76 was pressed by player 2
[11:51:15.585] [SEVERE ] key 68 was pressed by player 1
[11:51:15.596] [SEVERE ] key 75 was pressed by player 2
[11:51:15.765] [SEVERE ] key 79 was pressed by player 2
[11:51:15.788] [SEVERE ] key 80 was pressed by player 2
[11:51:15.901] [SEVERE ] key 75 was pressed by player 2
[11:51:16.114] [SEVERE ] key 75 was pressed by player 2
[11:51:16.215] [SEVERE ] key 68 was pressed by player 1
[11:51:16.543] [SEVERE ] key 75 was pressed by player 2
[11:51:16.880] [SEVERE ] key 74 was pressed by player 2
[11:51:17.026] [SEVERE ] key 79 was pressed by player 2
[11:51:17.036] [SEVERE ] key 80 was pressed by player 2
[11:51:17.374] [SEVERE ] key 75 was pressed by player 2
[11:51:17.397] [SEVERE ] key 68 was pressed by player 1
[11:51:17.453] [SEVERE ] key 81 was pressed by player 1
[11:51:17.488] [SEVERE ] key 87 was pressed by player 1
[11:51:19.095] [SEVERE ] key 80 was pressed by player 2
[11:51:19.197] [SEVERE ] key 79 was pressed by player 2
[11:51:19.298] [SEVERE ] key 73 was pressed by player 2
[11:51:19.455] [SEVERE ] key 82 was pressed by player 1
[11:51:19.556] [SEVERE ] key 76 was pressed by player 2
[11:51:19.636] [SEVERE ] key 75 was pressed by player 2
[11:51:19.850] [SEVERE ] key 80 was pressed by player 2
[11:51:19.860] [SEVERE ] key 79 was pressed by player 2
[11:51:19.873] [SEVERE ] key 68 was pressed by player 1
[11:51:20.007] [SEVERE ] key 75 was pressed by player 2
[11:51:20.108] [SEVERE ] key 65 was pressed by player 1
[11:51:20.120] [SEVERE ] key 83 was pressed by player 1
[11:51:20.188] [SEVERE ] key 76 was pressed by player 2
[11:51:20.300] [SEVERE ] key 75 was pressed by player 2
[11:51:20.366] [SEVERE ] key 68 was pressed by player 1
[11:51:20.445] [SEVERE ] key 79 was pressed by player 2
[11:51:20.456] [SEVERE ] key 80 was pressed by player 2
[11:51:20.570] [SEVERE ] key 75 was pressed by player 2
[11:51:20.625] [SEVERE ] key 68 was pressed by player 1
[11:51:20.862] [SEVERE ] key 76 was pressed by player 2
[11:51:20.975] [SEVERE ] key 87 was pressed by player 1
[11:51:20.998] [SEVERE ] key 69 was pressed by player 1
[11:51:21.176] [SEVERE ] key 82 was pressed by player 1
[11:51:22.234] [SEVERE ] key 82 was pressed by player 1
[11:51:22.256] [SEVERE ] key 69 was pressed by player 1
[11:51:22.324] [SEVERE ] key 81 was pressed by player 1
[11:51:22.373] [SEVERE ] key 87 was pressed by player 1
[11:51:22.741] [SEVERE ] key 79 was pressed by player 2
[11:51:22.753] [SEVERE ] key 73 was pressed by player 2
[11:51:22.763] [SEVERE ] key 80 was pressed by player 2
[11:51:22.965] [SEVERE ] key 75 was pressed by player 2
[11:51:22.977] [SEVERE ] key 68 was pressed by player 1
[11:51:23.146] [SEVERE ] key 80 was pressed by player 2
[11:51:23.202] [SEVERE ] key 79 was pressed by player 2
[11:51:23.247] [SEVERE ] key 87 was pressed by player 1
[11:51:23.304] [SEVERE ] key 75 was pressed by player 2
[11:51:23.338] [SEVERE ] key 69 was pressed by player 1
[11:51:23.392] [SEVERE ] key 81 was pressed by player 1
[11:51:23.494] [SEVERE ] key 76 was pressed by player 2
[11:51:23.810] [SEVERE ] key 69 was pressed by player 1
[11:51:23.810] [SEVERE ] key 79 was pressed by player 2
[11:51:23.888] [SEVERE ] key 65 was pressed by player 1
[11:51:23.923] [SEVERE ] key 87 was pressed by player 1
[11:51:23.923] [SEVERE ] key 83 was pressed by player 1
[11:51:40.789] [SEVERE ] exit button pressed
